x	y	z	metro	Pitch	Roll
1.03	-0.24	-0.06	1.059292217	76.43	-13.35
1.02	-0.22	-0.03	1.043886967	78.01	-11.93
1.03	-0.21	-0.04	1.051950569	78.61	-11.29
1.03	-0.22	-0.04	1.05399241	78.08	-11.82
1.02	-0.18	-0.06	1.037496988	79.99	-9.79
0.97	-0.09	-0.1	0.979285454	84.24	-5.14
1.02	-0.1	-0.07	1.027277957	84.25	-5.47
1.03	-0.08	-0.1	1.037930634	85.11	-4.32
1.04	-0.08	-0.07	1.045418576	85.43	-4.3
1.04	-0.09	-0.11	1.049666614	84.51	-4.8
1.04	-0.08	-0.08	1.046135746	85.35	-4.29
1.05	-0.08	-0.14	1.062308806	84.71	-4.2
1.04	-0.09	-0.1	1.048665819	84.62	-4.81
1.04	-0.08	-0.17	1.056834897	84.17	-4.2
1.02	-0.06	-0.18	1.037496988	84.96	-3.2
1.03	-0.06	-0.19	1.049094848	84.81	-3.16
1.05	-0.08	-0.22	1.075778788	83.21	-4.1
1.06	-0.07	-0.08	1.065316854	85.96	-3.69
1	-0.07	-0.07	1.004888053	85.81	-3.91
1.03	-0.08	-0.01	1.033150521	85.64	-4.36
1	-0.08	-0.05	1.004440143	85.38	-4.47
1.01	-0.1	0.03	1.015381702	84.41	-5.54
1.03	-0.1	0.02	1.035036231	84.54	-5.44
1.03	-0.14	0.11	1.045275083	81.77	-7.51
0.97	-0.17	0.22	1.009058968	77.38	-9.27
0.8	-0.16	0.43	0.922225569	66.93	-9.01
0.76	-0.18	0.5	0.92736185	60.89	-9.87
1.1	-0.13	0.04	1.108377192	83.36	-6.55
1.05	-0.16	-0.63	1.234908904	62.36	-6.21
0.76	-0.11	-0.79	1.101725919	46.07	-4.43
0.8	-0.11	-0.74	1.095308176	50.56	-4.54
0.74	-0.07	-0.76	1.063061616	48.83	-2.96
0.6	0.04	-0.64	0.878179936	53.4	2.24
0.84	-0.08	0.41	0.938136451	73.64	-4.43
0.79	-0.22	0.59	1.010247494	54.78	-10.72
0.76	-0.22	0.52	0.94678403	57.1	-12.3
0.74	-0.22	0.55	0.947892399	55.28	-11.66
0.74	-0.22	0.53	0.936429389	56.39	-11.89
0.76	-0.22	0.54	0.957914401	56.02	-12.07
0.76	-0.22	0.52	0.94678403	57.1	-12.3
0.74	-0.22	0.53	0.936429389	55.87	-12.41
0.91	-0.07	-0.45	1.017595204	73.42	-3.52
0.89	-0.11	-0.62	1.090229334	61.31	-4.84
0.91	-0.1	-0.58	1.083743512	64.67	-4.5
0.87	-0.1	-0.64	1.084665847	60.04	-4.39
0.61	-0.08	-0.85	1.049285471	37.1	-3.37
0.62	-0.04	-0.87	1.069065012	37.73	-1.63
0.65	-0.04	-0.81	1.039326705	43.2	-1.71
0.66	-0.04	-0.85	1.076893681	41.09	-1.61
0.67	-0.04	-0.81	1.051950569	44.04	-1.68
0.77	-0.04	-0.85	1.147606204	45.37	-1.5
0.88	-0.16	0.35	0.960468636	72.33	-8.86
0.76	-0.17	0.54	0.947681381	59.16	-8.98
0.75	-0.18	0.51	0.9246621	60.01	-9.87
0.76	-0.2	0.53	0.947892399	58.12	-10.64
0.79	-0.2	0.5	0.95608577	60.72	-10.64
0.76	-0.19	0.54	0.951472543	58.09	-10.02
0.77	-0.2	0.5	0.939627586	60.1	-10.84
0.75	-0.2	0.55	0.95131488	56.66	-10.52
0.76	-0.2	0.51	0.936856446	59.24	-10.84
0.77	-0.21	0.53	0.958070979	57.93	-11.05
0.76	-0.19	0.52	0.94026592	59.22	-10.21
0.76	-0.2	0.52	0.942337519	58.68	-10.74
0.76	-0.2	0.53	0.947892399	58.12	-10.64
0.79	-0.16	0.48	0.938136451	64.02	-8.71
0.78	-0.11	0.57	0.972316821	61.25	-5.57
0.76	-0.12	0.49	0.912195155	64.96	-6.68
0.77	-0.1	0.53	0.940106377	64.02	-5.31
0.83	-0.01	0.48	0.958853482	73.94	-0.53
0.86	-0.02	0.42	0.957287836	77.15	-1.08
0.77	-0.01	0.48	0.907413908	72.79	-0.56
0.91	0	0.46	1.019656805	76.93	0
0.93	0.12	0.31	0.98762341	76.96	6.52
1	0.09	0.11	1.010049504	84.3	4.98
0.99	-0.02	0.03	0.990656348	88.82	-1.13
1.01	-0.11	-0.03	1.016415269	83.86	-6.09
1.02	-0.12	0.02	1.027229283	83.4	-6.58
1.05	-0.15	-0.08	1.063672882	81.69	-7.93
1.04	-0.13	-0.04	1.04885652	82.92	-6.98
1.03	-0.12	-0.08	1.040048076	83.14	-6.48
1.04	-0.13	-0.1	1.052853266	82.49	-6.93
1.04	-0.14	-0.11	1.055130324	81.85	-7.44
1.02	-0.13	-0.16	1.040624812	81.52	-6.96
1.03	-0.13	-0.19	1.05541461	81.05	-6.83
1.01	-0.15	-0.35	1.07939798	74.96	-7.39
0.98	-0.15	-0.38	1.061743849	73.37	-7.44
0.97	-0.17	-0.49	1.099954545	67.29	-7.84
1.01	-0.19	-0.2	1.046995702	77.46	-10.08
1.01	-0.22	-0.19	1.050999524	75.56	-12.18
1.01	-0.31	-0.05	1.057686154	72.62	-17.22
1.01	-0.27	-0.06	1.047186707	74.61	-15.16
0.98	-0.18	-0.04	0.997196069	79.71	-10.19
1	-0.1	-0.01	1.005037313	84.4	-5.6
1.04	-0.12	-0.03	1.047329938	83.49	-6.45
1.04	-0.11	-0.01	1.045848937	84.07	-5.92
1.02	-0.12	0	1.027034566	83.42	-6.58
1.02	-0.11	0.06	1.027667261	83.77	-6.02
1	-0.12	0.03	1.00762096	83.24	-6.7
1.03	-0.13	-0.01	1.03821963	82.94	-7.06
1.03	-0.11	-0.06	1.037593369	83.83	-5.96
1.02	-0.12	-0.04	1.027813213	83.33	-6.57
1.05	-0.13	-0.05	1.05919781	82.94	-6.91
1.03	-0.11	-0.05	1.037063161	83.89	-5.97
1.03	-0.11	-0.04	1.036629153	83.93	-5.97
1.03	-0.11	-0.07	1.03821963	83.76	-5.95
1.03	-0.12	-0.03	1.037400598	83.43	-6.51
1.03	-0.12	-0.08	1.040048076	83.14	-6.48
1.04	-0.11	-0.03	1.046231332	84.03	-5.92
1	-0.11	0.32	1.055698821	78.02	-5.58
0.74	-0.13	0.73	1.047568614	48.19	-5.67
0.33	-0.1	0.76	0.834565755	26.08	-6.11
0.14	-0.03	0.87	0.881702898	9.87	-1.88
-0.01	-0.06	0.9	0.902053214	-0.65	-4.1
0.21	0.08	0.84	0.869540108	14.66	4.9
0.15	0.14	0.8	0.825893456	10.66	9.84
0.02	0.1	0.85	0.856095789	1.36	7.5
0.02	0.11	0.86	0.867236992	1.32	8.06
0.05	0.14	0.83	0.843208159	3.38	10.49
0.02	0.13	0.86	0.87	1.29	9.5
0.03	0.13	0.94	0.949420876	1.67	7.95
0	0.03	0.87	0.870517088	0	2.22
0.01	0.03	0.85	0.850588032	0.74	2.29
0.04	-0.05	0.83	0.832466216	3.03	-3.83
-0.22	-0.06	0.92	0.947839649	-13.98	-3.14
-0.14	0.02	0.86	0.871550343	-10.21	1.28
-0.14	0.03	0.86	0.871837141	-10.09	1.92
-0.05	0.02	0.87	0.871665073	-3.6	1.39
-0.03	0.04	0.86	0.861452262	-2.16	2.91
-0.02	0.05	0.87	0.871665073	-1.39	3.6
-0.02	0.06	0.87	0.872295821	-1.37	4.32
0.01	0.06	0.86	0.862148479	0.7	4.47
0.01	0.07	0.86	0.86290208	0.69	5.21
0.02	0.07	0.86	0.863075895	1.39	5.15
